cycleIntervalMillis,instances,guard,arrivals,partiesConfirmed,violatedRequests,violationRate,cycles,blockedParties,cycleP50Micros,cycleP95Micros,partiesPerSecond
0,2,none,2501,2496,2493,0.9976,7271,0,257.5,917.9,1663.6
0,2,remove,2508,1253,0,0.0000,10738,1253,234.3,502.5,832.8
0,2,claim,2501,1250,0,0.0000,8340,1755,247.2,723.7,833.1
0,4,none,2508,5001,2504,0.9992,15865,0,261.2,715.0,3324.0
0,4,remove,2503,1251,0,0.0000,18689,3747,254.8,586.7,833.1
0,4,claim,2501,1250,0,0.0000,15638,5217,276.1,742.9,833.1
0,8,none,2507,9940,2504,0.9992,25578,0,296.7,825.5,6608.1
0,8,remove,2501,1250,0,0.0000,32802,8732,281.1,652.3,833.1
0,8,claim,2507,1253,0,0.0000,27090,12280,423.2,801.0,833.0
10,2,none,2501,2264,2033,0.8148,182,0,6358.0,7492.8,1494.7
10,2,remove,2506,1244,0,0.0000,208,985,4154.5,4839.8,824.0
10,2,claim,2501,1241,0,0.0000,172,1209,7020.5,8207.4,821.8
10,4,none,2503,4175,2278,0.9116,372,0,5809.0,8415.8,2751.2
10,4,remove,2508,1252,0,0.0000,406,3075,4426.3,6171.8,824.8
10,4,claim,2502,1245,0,0.0000,360,3588,6254.1,7839.1,824.0
10,8,none,2505,7610,2280,0.9109,744,0,5787.5,8333.3,5015.5
10,8,remove,2504,1246,0,0.0000,832,6384,4161.9,5653.7,825.4
10,8,claim,2502,1242,0,0.0000,736,7742,5570.3,8298.9,821.6
